Учетные номера автомобильных дорог;Наименование автомобильных дорог;Идентификационные номера автомобильных дорог;Учетные номера автомобильных дорог, которые могут применяться до 31 декабря 2017 г. включительно;Наименования автомобильных дорог, которые могут применяться до 31 декабря 2017 г. включительно
Р-243;Кострома - Шарья - Киров - Пермь ;00 ОП ФЗ Р-243 ;-;Кострома - Шарья - Киров - Пермь
Р-254;"""Иртыш"" Челябинск - Курган - Омск - Новосибирск ";00 ОП ФЗ Р-254 (Е30, АН6, СНГ) ;М-51, М-53, М-55;"""Байкал"" - от Челябинска через Курган, Омск, Новосибирск, Кемерово, Красноярск, Иркутск, Улан-Удэ до Читы; подъезды к городам Тюмень, Томск; транзитный участок, проходящий по территории города Усолье-Сибирское "
Р-255;"""Сибирь"" Новосибирск - Кемерово - Красноярск - Иркутск ";00 ОП ФЗ Р-255 (АН6, СНГ) ;М-51, М-53, М-55;"""Байкал"" - от Челябинска через Курган, Омск, Новосибирск, Кемерово, Красноярск, Иркутск, Улан-Удэ до Читы; подъезды к городам Тюмень, Томск; транзитный участок, проходящий по территории города Усолье-Сибирское "
Р-256;"""Чуйский тракт"" Новосибирск - Барнаул - Горно-Алтайск - граница с Монголией  ";00 ОП ФЗ Р-256 (АН4, СНГ) ;М-52;"""Чуйский тракт"" - от Новосибирска через Бийск до границы с Монголией; подъезды к городам Барнаул, Горно-Алтайск  "
Р-257;"Енисей"" Красноярск - Абакан - Кызыл - Чадан - Хандагайты - граница с Монголией ";00 ОП ФЗ Р-257 (СНГ) ;М-54;"""Енисей"" - от Красноярска через Абакан, Кызыл, Чадан, Хандагайты до границы с Монголией "
Р-258;"""Байкал"" Иркутск - Улан-Удэ - Чита ";00 ОП ФЗ Р-258 (АН6, СНГ) ;М-51, М-53, М-55;"""Байкал"" - от Челябинска через Курган, Омск, Новосибирск, Кемерово, Красноярск, Иркутск, Улан-Удэ до Читы; подъезды к городам Тюмень, Томск "
Р-297;"""Амур"" Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск ";00 ОП ФЗ Р-297 (АН30, АН31, СНГ) ;-;"""Амур"" - строящаяся дорога от Читы через Невер, Свободный, Архару, Биробиджан до Хабаровска; подъезд к городу Благовещенск "
Р-298;"Курск - Воронеж - автомобильная дорога Р-22 ""Каспий"" ";00 ОП ФЗ Р-298 (Е38, АН61, СНГ) ;А-144;"Курск - Воронеж - Борисоглебск до магистрали ""Каспий"" "
Р-351;Екатеринбург - Тюмень ;00 ОП ФЗ Р-351 (Е22, СНГ) ;1P 351;Екатеринбург - Тюмень 
Р-354;Екатеринбург - Шадринск - Курган ;00 ОП ФЗ Р-354 ;1P 354;Екатеринбург - Шадринск - Курган
Р-402;Тюмень - Ялуторовск - Ишим - Омск ;00 ОП ФЗ Р-402 (Е22, Е30, СНГ) ;1P 402;Тюмень - Ялуторовск - Ишим - Омск 
Р-404;Тюмень - Тобольск - Ханты-Мансийск ;00 ОП ФЗ Р-404 ;-;Тюмень - Ханты-Мансийск через Тобольск, Сургут, Нефтеюганск 
